Date,SPY,SPY_vol,AAPl,AAPl_vol,MSFT,MSFT_vol
2000-01-03,98.96,8164300,3.46,133949200,37.29,53228400
2000-01-04,95.09,8089800,3.17,128094400,36.03,54119000
2000-01-05,95.26,12177900,3.22,194580400,36.41,64059600
2000-01-06,93.73,6227200,2.94,191993200,35.19,54976600
2000-01-07,99.17,8066500,3.08,115183600,35.65,62013600
2000-01-10,99.51,5741700,3.02,126266000,35.91,44963600
2000-01-11,98.32,7503700,2.87,110387200,34.99,46743600
2000-01-12,97.34,6907700,2.7,244017200,33.85,66532400
2000-01-13,98.66,5158300,2.99,258171200,34.49,83144000
2000-01-14,100.0,7437300,3.11,97594000,35.91,73416400
2000-01-18,99.21,6488500,3.21,114794400,36.89,81483600
2000-01-19,100.02,6157900,3.29,149410800,34.23,97568200
2000-01-20,98.49,5800100,3.51,457783200,33.91,56349800
2000-01-21,98.28,6244800,3.44,123981200,33.19,68416200
2000-01-24,95.49,7896900,3.29,110219200,32.39,63597600
2000-01-25,96.58,9942500,3.47,124286400,32.89,59823200
2000-01-26,95.81,5158100,3.41,91789600,31.79,49365000
2000-01-27,95.43,10922700,3.4,85036000,31.59,63654800
2000-01-28,92.45,11916200,3.14,105837200,31.43,58225400
2000-01-31,94.96,10768700,3.21,175420000,31.31,73194200
2000-02-01,95.9,8419900,3.1,79508800,32.93,70196600
2000-02-02,95.98,6205900,3.06,116048800,32.25,49915600
2000-02-03,97.43,7997500,3.19,118798400,33.15,49186000
2000-02-04,97.02,4925400,3.34,106330000,34.09,55365400
2000-02-07,96.88,5845800,3.53,110266800,34.11,40005800
2000-02-08,98.19,4936400,3.55,102160800,35.17,56229000
2000-02-09,96.13,8511500,3.48,74841200,33.27,55090000
2000-02-10,96.32,6690600,3.51,75745600,33.91,54527800
2000-02-11,94.37,9849800,3.36,53062800,31.97,115559000
2000-02-14,94.92,8528800,3.58,91884800,31.87,81028600
2000-02-15,95.99,11078300,3.68,121436000,31.53,71027600
2000-02-16,94.58,8845400,3.53,94561600,31.23,65202600
2000-02-17,94.09,7584200,3.55,72374400,31.87,80343400
2000-02-18,92.07,9409200,3.44,58360400,30.41,79063000
2000-02-22,91.84,16415400,3.52,105574000,30.01,66296200
2000-02-23,92.92,12119000,3.59,118274800,30.15,75847200
2000-02-24,91.05,17375000,3.56,94108000,30.31,69733200
2000-02-25,90.72,10559900,3.41,62286000,29.21,65301400
2000-02-28,92.62,13397800,3.5,82082000,29.29,76131800
2000-02-29,93.52,8242500,3.54,92240400,28.59,58437400
2000-03-01,94.2,6868000,4.03,269250800,29.05,106889800
2000-03-02,94.26,7600200,3.77,77814800,29.87,106932600
2000-03-03,96.02,12770300,3.96,80841600,30.75,101435200
2000-03-06,95.09,11967100,3.89,52640000,28.99,93609400
2000-03-07,93.25,20062000,3.8,68252800,29.71,135061000
2000-03-08,93.13,11808500,3.77,67807600,30.57,94290000
2000-03-09,95.85,5500900,3.78,69179600,31.99,88198800
2000-03-10,95.34,7924600,3.89,62151600,32.31,85589000
2000-03-13,94.3,10540500,3.75,75989200,31.35,61831800
2000-03-14,92.96,8263900,3.53,107144800,30.43,73489200
2000-03-15,95.13,10300800,3.59,110902400,30.51,53208000
2000-03-16,99.58,25601400,3.76,94525200,30.51,77300800
2000-03-17,100.23,10272900,3.86,76260800,31.79,81161600
2000-03-20,99.72,12502300,3.8,51122400,31.15,47773000
2000-03-21,101.77,13612600,4.17,131082000,32.87,81648800
2000-03-22,102.39,8260000,4.46,141999200,33.03,93975800
2000-03-23,104.13,11654500,4.37,140641200,35.79,148224000
2000-03-24,104.75,11462900,4.29,111728400,35.73,112196800
2000-03-27,103.64,8798600,4.31,69795600,33.29,111434000
2000-03-28,103.05,6334400,4.3,50741600,33.37,81114400
2000-03-29,103.15,6747500,4.2,59959200,34.29,64363800
2000-03-30,101.43,9491900,3.89,103600000,33.07,64178400
2000-03-31,102.58,9249100,4.2,101158400,33.99,64281400
2000-04-03,103.18,8508200,4.12,82140800,29.07,260118200
2000-04-04,102.41,19585500,3.94,165082400,28.33,181244400
2000-04-05,101.77,8387200,4.03,114416400,27.63,82887600
2000-04-06,102.65,6378500,3.87,64906800,27.51,66421400
2000-04-07,103.3,6023600,4.07,60608800,28.49,82613600
2000-04-10,102.9,9624200,3.86,53065600,27.53,60685400
2000-04-11,102.6,9006400,3.69,135455600,26.83,71961800
2000-04-12,99.79,10779200,3.38,235284000,25.39,153003800
2000-04-13,98.4,12225800,3.52,132456800,25.35,94316200
2000-04-14,92.77,29604000,3.46,166905200,23.71,151217800
2000-04-17,96.01,23918200,3.83,102390400,24.27,119772200
2000-04-18,98.55,11069200,3.92,97731200,25.77,91794600
2000-04-19,97.63,6553700,3.74,130037600,25.17,53715400
2000-04-20,98.1,8537600,3.68,180530000,25.25,52387400
2000-04-24,97.04,12893100,3.73,110905200,21.31,313645800
2000-04-25,101.07,14102000,3.97,97910400,22.19,159517400
2000-04-26,99.92,7711100,3.75,91728000,21.75,107091200
2000-04-27,99.59,15595300,3.92,81650800,22.33,77669800
2000-04-28,98.98,8743400,3.84,62395200,22.31,78082600
2000-05-01,100.32,7328300,3.84,56548800,23.49,107811000
2000-05-02,98.32,9411900,3.64,59108000,22.35,97716200
2000-05-03,96.01,12630700,3.56,122449600,22.57,55354800
2000-05-04,96.74,5963600,3.42,99878800,22.53,43317200
2000-05-05,97.91,7862400,3.5,71019200,22.75,36402200
2000-05-08,97.17,5064100,3.4,46225200,22.33,36187600
2000-05-09,96.4,5620300,3.26,81785200,21.69,60778400
2000-05-10,94.22,10293900,3.07,133772800,21.17,67740000
2000-05-11,96.38,7091100,3.18,124936000,21.71,58390800
2000-05-12,97.42,5960800,3.33,76728400,22.01,37886000
2000-05-15,99.1,4441300,3.12,169733200,22.19,33899600
2000-05-16,100.06,8192200,3.27,110112800,22.23,48410600
2000-05-17,99.02,5907200,3.13,99523200,21.65,53242000
2000-05-18,97.8,4325600,3.11,93444400,21.17,53640400
2000-05-19,96.27,6518400,2.91,185166800,20.81,66578000
2000-05-22,95.54,10839400,2.78,188876800,20.53,69955000
2000-05-23,94.14,7979200,2.65,129396400,20.21,57963200
2000-05-24,95.67,11081500,2.71,169615600,20.97,85482400
2000-05-25,94.03,8278900,2.7,101687600,19.67,94348800
2000-05-26,94.14,4814000,2.67,45287200,19.65,55822000
2000-05-30,97.21,5362700,2.71,178264800,20.27,68536400
2000-05-31,97.42,6056500,2.6,108376800,20.01,54968200
2000-06-01,99.13,8961600,2.76,225960000,20.65,94507200
2000-06-02,100.85,8962200,2.86,198212000,21.21,80463200
2000-06-05,100.36,6998100,2.82,80917200,21.39,64400000
2000-06-06,99.91,4858900,2.87,131370400,22.27,99019000
2000-06-07,100.61,4919500,2.99,84254800,22.55,76310600
2000-06-08,100.21,5723100,2.93,59631600,22.01,94765600
2000-06-09,100.0,3085300,2.96,63089600,22.01,35710200
2000-06-12,98.83,3678900,2.82,72584400,21.39,49260600
2000-06-13,100.68,6558700,2.92,87864000,21.71,44289200
2000-06-14,100.85,6420500,2.8,69361600,22.55,79992400
2000-06-15,101.07,5881200,2.86,62143200,23.15,65592600
2000-06-16,100.23,5567900,2.82,75891200,23.21,68710600
2000-06-19,101.52,5106900,2.99,98501200,23.57,46604800
2000-06-20,101.15,6480000,3.13,125347600,23.97,62275000
2000-06-21,101.11,3115000,3.44,122500000,25.81,160399600
2000-06-22,99.57,7490500,3.32,116928000,25.55,87315200
2000-06-23,98.72,4863300,3.2,51241400,24.85,49811600
2000-06-26,99.99,5201300,3.35,46338600,25.43,48287000
2000-06-27,99.25,4159500,3.2,50867600,25.21,31071200
2000-06-28,99.53,5347700,3.37,71607200,25.25,37459200
2000-06-29,98.59,6345700,3.17,50915200,24.69,38449000
2000-06-30,99.34,7420200,3.24,80774400,25.59,52356400
2000-07-03,100.7,1436600,3.3,17707200,25.59,15734800
2000-07-05,98.89,2748200,3.19,66304000,25.11,34824400
2000-07-06,99.66,5963200,3.2,77386400,25.89,47873200
2000-07-07,101.26,3034800,3.37,65900800,26.23,54153200
2000-07-10,101.09,2816100,3.53,99449000,25.41,52689800
2000-07-11,101.3,5431600,3.52,89474000,25.31,37164800
2000-07-12,101.97,5883000,3.64,56358400,25.69,58370200
2000-07-13,102.41,5356000,3.49,111414800,25.57,80843200
2000-07-14,103.42,5341900,3.57,47569200,25.25,51180600
2000-07-17,103.25,4208300,3.61,65000600,25.01,53992800
2000-07-18,102.4,4262100,3.54,79601200,25.11,70617200
2000-07-19,101.58,8506800,3.26,114468200,23.39,139924600
2000-07-20,102.99,4538900,3.41,116393200,23.93,54690600
2000-07-21,100.98,5656900,3.31,49058800,23.13,56100600
2000-07-24,100.41,5628500,3.01,103042800,22.57,56165600
2000-07-25,100.73,4757100,3.1,52901800,22.07,64188600
2000-07-26,99.74,12062500,3.1,52617600,21.69,85404600
2000-07-27,99.4,7652600,3.22,73746400,22.19,74337600
2000-07-28,97.16,6229500,2.99,59473400,22.29,75645600
2000-07-31,97.78,5265500,3.14,38824800,22.33,70283800
2000-08-01,98.38,3946600,3.05,34321000,21.97,47163600
2000-08-02,98.87,7439800,2.92,40588800,22.19,48269200
2000-08-03,99.55,4607100,2.97,84974400,22.47,54543400
2000-08-04,100.09,3686600,2.93,65780400,22.11,38107400
2000-08-07,101.28,4159800,2.96,46837000,22.39,52741800
2000-08-08,101.67,3658700,2.89,44168600,23.71,138038800
2000-08-09,100.81,5383800,2.94,94910200,23.75,63945600
2000-08-10,100.32,4193400,2.94,62928600,23.23,48986000
2000-08-11,100.79,5089400,2.95,59514000,23.17,35629600
2000-08-14,102.07,2966700,2.91,39165000,23.09,53427000
2000-08-15,101.99,5564600,2.89,28550200,22.91,40714200
2000-08-16,101.62,5191600,3.0,35918400,22.71,44976200
2000-08-17,102.69,5652200,3.18,67725000,22.89,36112800
2000-08-18,102.35,4626400,3.09,47544000,22.71,54438800
2000-08-21,102.91,2380600,3.12,33616800,22.59,34119600
2000-08-22,102.73,3075300,3.2,69200600,22.79,54428200
2000-08-23,103.14,5483200,3.36,59215800,22.63,36726800
2000-08-24,103.46,4529000,3.47,77691600,22.75,42405400
2000-08-25,103.42,2822200,3.51,83615000,22.59,52729400
2000-08-28,103.77,5518700,3.59,89751200,22.81,56421600
2000-08-29,103.79,3561900,3.66,66757600,22.69,59400200
2000-08-30,102.8,3964800,3.68,71348200,22.39,53498800
2000-08-31,104.17,4863100,3.77,104899200,22.33,72575400
2000-09-01,104.27,3191200,3.92,64218000,22.45,37629800
2000-09-05,103.44,3470800,3.86,74660600,22.43,50755200
2000-09-06,102.26,4322200,3.61,88851000,22.21,62960800
2000-09-07,103.14,4265500,3.83,54366200,22.41,111711200
2000-09-08,102.44,3518200,3.64,48879600,22.17,56709600
2000-09-11,102.29,3937500,3.61,46845400,22.01,48495200
2000-09-12,101.54,4769100,3.57,46999400,21.79,46781200
2000-09-13,101.81,7691600,3.59,76496000,21.83,40744800
2000-09-14,102.32,3397100,3.52,106638000,21.05,78503000
2000-09-15,100.08,4085700,3.42,98628600,20.53,99915200
2000-09-18,99.16,5109300,3.75,106134000,20.15,69037800
2000-09-19,100.06,6588200,3.71,67877600,20.79,79311200
